"Modelo" "AIC" "BIC"
"1" "AR1" -237.32941911067 -230.99679751815
"2" "AR2" -242.36087363971 -233.917378183017
"3" "MA1" -232.521195962898 -226.188574370378
"4" "MA2" -239.158008251377 -230.714512794684
"5" "MA3" -239.742787068297 -229.18841774743
"6" "MA4" -239.20847847318 -226.54323528814
"7" "MA5" -238.116804612142 -223.340687562929
"8" "MA6" -236.470690762043 -219.583699848657
"9" "MA7" -234.546612182642 -215.548747405082
"10" "MA8" -233.63823514968 -212.529496507947
"11" "MA9" -234.016276428245 -210.796663922338
"12" "ARMA11" -240.679677254088 -232.236181797395
"13" "ARMA12" -240.445360631511 -229.890991310645
"14" "ARMA13" -238.512605859672 -225.847362674632
"15" "ARMA14" -238.147948428161 -223.371831378948
"16" "ARMA15" -236.352945492401 -219.465954579014
"17" "ARMA16" -237.379283994185 -218.381419216626
"18" "ARMA17" -235.510560372209 -214.401821730476
"19" "ARMA18" -234.07674091928 -210.857128413374
"20" "ARMA19" -234.600927056864 -209.270440686784
"21" "ARMA21" -240.437835370788 -229.883466049921
"22" "ARMA22" -238.45659081878 -225.79134763374
"23" "ARMA23" -237.617211180582 -222.841094131369
"24" "ARMA24" -236.265935897556 -219.378944984169
"25" "ARMA25" -237.27746318066 -218.2795984031
"26" "ARMA26" -235.662111015019 -214.553372373286
"27" "ARMA27" -234.798590925389 -211.578978419483
"28" "ARMA28" -232.076978740063 -206.746492369984
"29" "ARMA29" -232.932315131288 -205.490954897035
